"id","type","oms","kleur","fiets_soort_id","cat_code","cat_oms","soort","trefwoord"
"PL0100_BVH_2013006362",NA,"TREK","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006366","OMAFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006373","PHANTOM DISC","ONBEKEND","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","ATB"
"PL0100_BVH_2013006380","OLD DUTCH","BATAVUS","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006406","CADIZ","GAZELLE","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006406","CADIZ","GAZELLE","BLAUW","TAGSET-ID","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006484",NA,"UNION","WIT",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006513","FLYING DUTCHMAN","BATAVUS","MEERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006576","URBAN TRANSPORT","CUMBERLAND","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006597","SPORTFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006612",NA,"ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006616","AREZZO GTS AREZ","GIANT","ONBEKEND","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006616","AREZZO GTS AREZ","GIANT","ONBEKEND","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006628",NA,"ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006633","OPOE","Onbekend","ZWART",NA,"DK42","VOERTUIGEN","FIETS",NA
"PL0100_BVH_2013006747","OLD DUTCH","BATAVUS","PAARS",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006899",NA,"LIMIT CLASSIC","ZWART","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006899",NA,"LIMIT CLASSIC","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006899",NA,"LIMIT CLASSIC","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006899",NA,"LIMIT CLASSIC","ZWART","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006901","OPOEFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006920","HERO D55 T3 WAR","SPARTA","ROOD",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006923","BALANCE","KOGA MIYATA","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006928",NA,"PUCH","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006971","TRANSPORTFIETS","AVALON","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006991","EASY LIFE","HOLLANDIA","WIT",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007037","OMAFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007038","CLASSIC","GAZELLE","WIT","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007056","ESPRIT","GAZELLE","PAARS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007070","ARTMAP01 TOEGEV","GAZELLE","ONBEKEND","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007157","ORANGE PURE","GAZELLE","GROEN","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007181",NA,"POINTER","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007297",NA,"BATAVUS","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007301","140 U?","CORTINA","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013007303","PICK-UP H62 RN7","SPARTA","ONBEKEND","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013007334","HOLIDAY","BATAVUS","BLAUW","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007340","BASIC","GAZELLE","PAARS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013007340","BASIC","GAZELLE","PAARS","SERIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013007350",NA,"ONBEKEND","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007351","OMA","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007360","AVELLINA","RANGER","ROOD",NA,"DK42","VOERTUIGEN","FIETS","SPORT"
"PL0100_BVH_2013007361","VOLKSKRANT","LIMIT","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013007367","MADISON","AVANCER","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007367","MADISON","AVANCER","GRIJS","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007370","MAMBO-SPIRIT","BATAVUS","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013007370","MAMBO-SPIRIT","BATAVUS","ZWART","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013007408","VITESSE","DAHON","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","VOUW"
"PL0100_BVH_2013007534","CRUSH","CORTINA","ROZE","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007599","ORTANGE PLUS VV","GAZELLE","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007626","ARTMAP01 TOEGEV","GAZELLE","ONBEKEND","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS",NA
"PL0100_BVH_2013007626","ARTMAP01 TOEGEV","GAZELLE","ONBEKEND","TAGSET-ID","DK42","VOERTUIGEN","FIETS",NA
"PL0100_BVH_2013007626","ARTMAP01 TOEGEV","GAZELLE","ONBEKEND","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS",NA
"PL0100_BVH_2013007642",NA,"ONBEKEND","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013007644",NA,"ONBEKEND","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007648","SOLID STORM 9","LIMIT","ZWART","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007648","SOLID STORM 9","LIMIT","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007648","SOLID STORM 9","LIMIT","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007654","FUENTE","GAZELLE","MEERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007654","FUENTE","GAZELLE","MEERKLEURIG","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007677","OPOEFIETS","GAZELLE","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007680",NA,"UNION","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013007684","DAMES TRANSPORT","CORTINA","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013007695",NA,"GIANT","WIT",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013007768","HERENFIETS,","POINTER","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
