"id","type","merk","kleur","trefwoord","soort"
"PL0100_BVH_2702457",NA,"PELIKAAN","ZWART",NA,NA
"PL0100_BVH_2758206","JAF","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_2768144","PARIS PLUS","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_2949959","SWEET MEMORY","PELIKAAN","GRIJS","DAMES","dames"
"PL0100_BVH_2794440","INNERGY ORANGE","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2812258",NA,"HOLLAND","ZWART","DAMES","dames"
"PL0100_BVH_2830198","STACCATO","BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_2849105","BUB","BATAVUS","GROEN","HEREN","heren"
"PL0100_BVH_2921370","OMA AVALON BASI","AVALON","ZWART","OPOE","opoe"
"PL0100_BVH_2904853","CHAMONIX","GAZELLE","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_2893111","OMAFIETS 28 INC","HIGHLANDER","ZWART","OPOE","opoe"
"PL0100_BVH_2904833",NA,"BATAVUS","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_2906438","MISS GRACE","GAZELLE","BEIGE","DAMES","dames"
"PL0100_BVH_2906438","MISS GRACE","GAZELLE","BEIGE","DAMES","dames"
"PL0100_BVH_2972546","MARATHON 3.0","SPARTA","BRUIN","HEREN","heren"
"PL0100_BVH_3052922","STADSFIETS","GAZELLE","GROEN","DAMES","dames"
"PL0100_BVH_3094352","WINNER","BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_3123593","OLD DUTCH","BATAVUS","ZWART","OPOE","opoe"
"PL0100_BVH_3107674","COUNTRY TOUR","TOEVOEGEN","GRIJS","DAMES","dames"
"PL0100_BVH_3371079","DAMESFIETS","BATAVUS","PAARS","DAMES","dames"
"PL0100_BVH_3376763","PARIS PLUS","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_3386646",NA,"TOEVOEGEN","GROEN","DAMES","dames"
"PL0100_BVH_3394779",NA,"POINTER","BLAUW","DAMES","dames"
"PL0100_BVH_3451638","SPECIAAL","GAZELLE","GRIJS","HEREN","heren"
"PL0100_BVH_3548380","SWAPFIETS","UNION","GRIJS","DAMES","dames"
"PL0100_BVH_1358612",NA,"RIVEL","GROEN","DAMES","dames"
"PL0100_BVH_1688281","HEAVY DUTY NL","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_3205020","MISS GRACE","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_1791437","OPOEFIETS","ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_1158994","ORANGE PLUS H7V","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_1176329","OMAFIETS","BATAVUS","ZWART","OPOE","opoe"
"PL0100_BVH_1204663","CHAMONIX","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1162356","PRIMEUR","GAZELLE","GROEN","DAMES","dames"
"PL0100_BVH_1504416","OMA","GAZELLE","ZWART","VOUW","overig"
"PL0100_BVH_1280275","COSMO CS2","GIANT","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1304757","ORANGE PLUS VV","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1317713","ZETA VV.","GAZELLE","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1317713","ZETA VV.","GAZELLE","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1322508",NA,"ONBEKEND","ZILVERKLEURIG","VOUW","overig"
"PL0100_BVH_2016294",NA,"BATAVUS","ZWART","HEREN","heren"
"PL0100_BVH_2093316","ORANGE","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_2108560","ORANGE PL.","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_2131565","STRATOS SPIRIT","BATAVUS","ZWART","DAMES","dames"
"PL0100_BVH_2147159",NA,"BATAVUS","CREME","DAMES","dames"
"PL0100_BVH_2147159",NA,"BATAVUS","CREME","DAMES","dames"
"PL0100_BVH_2305136","8 VERSNELLINGEN","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_2319898","ONBEKEND","BATAVUS","PAARS","DAMES","dames"
"PL0100_BVH_2426911","ORANGE VV","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_2546092","OPOEFIETS","ONBEKEND","ZWART","DAMES","dames"
"PL0100_BVH_3130239","ULITMATE S*","GAZELLE","ZWART","SPORT","sport"
"PL0100_BVH_3378270","OLD DUTCH","GAZELLE","GROEN","OPOE","opoe"
"PL0100_BVH_1497424",NA,"BATAVUS","Onbekend","DAMES","dames"
"PL0100_BVH_3311093",NA,"GAZELLE","BLAUW","HEREN","heren"
"PL0100_BVH_1198349","MAMAFIETS","ONBEKEND","WIT","DAMES","dames"
"PL0100_BVH_1137266","ION DT","SPARTA","ZWART",NA,NA
"PL0100_BVH_2479347","ARTMAP01 TOEGEV","GAZELLE","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1934595","IMPULS","GAZELLE","GRIJS","ELEKTRISCHE","electrisch"
"PL0100_BVH_1315507",NA,"SPARTA","GRIJS","HEREN","heren"
"PL0100_BVH_2295639","DAMES","CORTINA","CREME","BAK","overig"
"PL0100_BVH_1870505",NA,"UNION","GROEN","HEREN","heren"
"PL0100_BVH_1151454","OMAFIETS","TOEVOEGEN","ZWART","OPOE","opoe"
"PL0100_BVH_1055899",NA,"ONBEKEND","BLAUW","DAMES","dames"
"PL0100_BVH_2241378","OLD DUTCH","BATAVUS","ZWART",NA,NA
"PL0100_BVH_2650522","OV FIETS","OV FIETS","GEEL","DAMES","dames"
"PL0100_BVH_1198610","ORANGE PLUS","GAZELLE","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1292440","MONTREUX D57","GAZELLE","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1251493","GAZELLE ORANGE","GAZELLE","GRIJS","HEREN","heren"
"PL0100_BVH_1129158","MONACO-7","BATAVUS","BLAUW","DAMES","dames"
"PL0100_BVH_2629365","L300","TREK","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_2629365","L300","TREK","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1265381","CARRIER","CUMBERLAND","WIT","DAMES","dames"
"PL0100_BVH_1300551","ECLIPSE  L.E.  D49 682/276 T8","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1300551","ECLIPSE  L.E.  D49 682/276 T8","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1556841","KLEIN MODEL","ONBEKEND","GRIJS","HEREN","heren"
"PL0100_BVH_1968299",NA,"SPARTA","GROEN","DAMES","dames"
"PL0100_BVH_1097879","MARATHON 3.0","SPARTA","GRIJS","DAMES","dames"
"PL0100_BVH_2447233","XANTA COLLEGE","GAZELLE","WIT","DAMES","dames"
"PL0100_BVH_2447233","XANTA COLLEGE","GAZELLE","WIT","DAMES","dames"
"PL0100_BVH_2960780","NL","GAZELLE","ZWART","HEREN","heren"
"PL0100_BVH_2976245","JUBILEE","KALKHOFF","ZWART","DAMES","dames"
"PL0100_BVH_3550146","TURN","UNION","ZWART","OPOE","opoe"
"PL0100_BVH_1490476","ORANGE","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1418773","MEDEO","GAZELLE","GRIJS","DAMES","dames"
"PL0100_BVH_1443742","SNAKE","BATAVUS","ZWART","KINDER","overig"
"PL0100_BVH_1488224",NA,"BATAVUS","ZWART","OPOE","opoe"
"PL0100_BVH_1211974","MELBOURNE","GIANT","ZILVERKLEURIG","HEREN","heren"
"PL0100_BVH_2184971","ORANGE C8 IMPUL","GAZELLE","GRIJS","ELECTRISCH","electrisch"
"PL0100_BVH_2198535","ION M-GEAR (KLE","SPARTA","BLAUW","ELECTRISCH","electrisch"
"PL0100_BVH_2669471","MONACO","BATAVUS","BLAUW","DAMES","dames"
"PL0100_BVH_2675698","WEEKEND EASY","SPARTA","BRUIN","ELECTRISCH","electrisch"
"PL0100_BVH_2741073",NA,"ZYSSLER","ZWART","ELEKTRISCHE","electrisch"
"PL0100_BVH_2390712","TRANSPORTFIETS","CORTINA","ZWART","DAMES","dames"
"PL0100_BVH_1051351","WILDTAIL","BULLS","ZWART","ATB","sport"
"PL0100_BVH_1275452","ACCENT","GAZELLE","MEERKLEURIG","HEREN","heren"
"PL0100_BVH_2644837","TROOPER C.L","GIANT","GROEN","HEREN","heren"
"PL0100_BVH_3009681","ORANGE PL (M) D","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_2606831",NA,"BATAVUS","BRUIN","DAMES","dames"
"PL0100_BVH_3210143",NA,"HOLLANDIA","ZWART","OPOE","opoe"
"PL0100_BVH_1854932","A0267","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1198844",NA,"RALEIGH","GRIJS","HEREN","heren"
"PL0100_BVH_1198844",NA,"RALEIGH","GRIJS","HEREN","heren"
"PL0100_BVH_1161993","ONBEKEND","ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_1106247","PRIMEUR","GAZELLE","GROEN","DAMES","dames"
"PL0100_BVH_1303965","BASIC","ALTRA","ZWART","DAMES","dames"
"PL0100_BVH_2135859","ORANGE PLUS ORA","GAZELLE","ONBEKEND","HEREN","heren"
