,mutation,quaycode,quayname,quayowner,quaystatus,accessible,bicyclepar,bins,shelter,geometry,x,y
20,2017-09-20T01:39:32Z,NL:Q:10002910,Pyrietstraat,G0014,available,Y,false,true,true,POINT (6.527466730439865 53.22375448357207),6.527466730439865,53.22375448357207
21,2017-09-20T01:36:16Z,NL:Q:10002920,Pyrietstraat,G0014,available,Y,false,true,true,POINT (6.527527795666617 53.22379883489791),6.527527795666617,53.223798834897906
22,2017-09-20T01:45:37Z,NL:Q:10002930,Metaallaan,G0014,available,Y,false,true,true,POINT (6.529718919933488 53.22115398584481),6.529718919933488,53.22115398584481
23,2017-09-20T01:38:10Z,NL:Q:10002940,Metaallaan,G0014,available,Y,false,true,true,POINT (6.528625441367707 53.22170357202022),6.528625441367707,53.22170357202022
24,2017-09-20T01:44:34Z,NL:Q:10003010,Halfweg,G0014,available,N,false,false,true,POINT (6.527198168042715 53.21470779836208),6.527198168042715,53.214707798362085
25,2017-09-20T01:37:00Z,NL:Q:10003020,Halfweg,G0014,available,N,false,false,false,POINT (6.526767444008982 53.21483769891913),6.526767444008982,53.21483769891913
26,2017-09-20T01:41:41Z,NL:Q:10003090,W. Barentzstraat,G0014,available,N,false,false,false,POINT (6.553085177493118 53.21480951000485),6.553085177493118,53.21480951000485
27,2017-09-20T01:40:37Z,NL:Q:10003150,Voermanstraat,G0014,available,Y,false,true,true,POINT (6.537787704518193 53.22784359616011),6.537787704518193,53.227843596160106
28,2017-09-20T01:42:30Z,NL:Q:10003160,Voermanstraat,G0014,available,Y,false,false,true,POINT (6.539244478384652 53.2280003605041),6.539244478384652,53.228000360504105
29,2017-09-20T01:45:46Z,NL:Q:10003230,J. van Goyenstraat,G0014,available,Y,false,false,true,POINT (6.545177402786227 53.21748315077654),6.545177402786227,53.21748315077654
30,2017-09-20T01:42:37Z,NL:Q:10003240,J. van Goyenstraat,G0014,available,Y,false,false,true,POINT (6.544565113146098 53.21810013089737),6.544565113146098,53.21810013089737
31,2017-09-20T01:36:17Z,NL:Q:10003270,H. Colleniusstraat,G0014,available,Y,false,true,true,POINT (6.550815161899616 53.21723989530648),6.5508151618996155,53.217239895306484
32,2017-09-20T01:44:13Z,NL:Q:10003280,H. Colleniusstraat,G0014,available,Y,false,true,true,POINT (6.549762835327082 53.21707935498971),6.549762835327082,53.21707935498971
33,2017-09-20T01:40:11Z,NL:Q:10003360,Verl. Visserstraat,G0014,available,Y,false,true,false,POINT (6.556216333994644 53.21876899619644),6.5562163339946435,53.21876899619644
34,2017-09-20T01:45:56Z,NL:Q:10003290,Verl. Visserstraat,G0014,available,Y,false,true,true,POINT (6.556280144351571 53.21780683220665),6.556280144351571,53.21780683220665
35,2017-09-20T01:45:45Z,NL:Q:10003300,Verl. Visserstraat,G0014,available,Y,false,true,true,POINT (6.555397370337882 53.21838157180294),6.555397370337882,53.218381571802944
36,2017-09-20T01:37:00Z,NL:Q:10004030,Abeelstraat,G0014,available,Y,false,true,true,POINT (6.553428675432091 53.23253625321369),6.553428675432091,53.232536253213695
37,2017-09-20T01:44:22Z,NL:Q:10004040,Abeelstraat,G0014,available,Y,false,true,true,POINT (6.553296769042596 53.23208821835543),6.553296769042596,53.23208821835543
38,2017-09-20T01:43:36Z,NL:Q:10004110,Crematoriumlaan,G0014,available,Y,false,true,true,POINT (6.538442417470117 53.23667984617094),6.538442417470117,53.23667984617094
39,2017-09-20T01:45:48Z,NL:Q:10004120,Crematoriumlaan,G0014,available,Y,false,true,true,POINT (6.538096090740428 53.23661127714051),6.538096090740428,53.23661127714051
40,2017-09-20T01:39:32Z,NL:Q:10004130,Nijenborgh,G0014,available,N,false,true,true,POINT (6.535910034424418 53.24002004949687),6.535910034424418,53.24002004949687
41,2017-09-20T01:39:03Z,NL:Q:10004140,Nijenborgh,G0014,available,N,false,true,true,POINT (6.536234718446154 53.2398372161505),6.5362347184461544,53.2398372161505
42,2017-09-20T01:38:10Z,NL:Q:10004330,De Verbetering,G0014,available,N,false,false,false,POINT (6.535251416928028 53.20734306603468),6.535251416928028,53.20734306603468
43,2017-09-20T01:42:30Z,NL:Q:10004340,De Verbetering,G0014,available,N,false,false,false,POINT (6.535655452828257 53.20733919883342),6.535655452828257,53.20733919883342
44,2017-09-20T01:44:40Z,NL:Q:10004350,Kwinkenplein,G0014,available,N,false,false,false,POINT (6.567306958078905 53.21972981182105),6.567306958078905,53.219729811821054
45,2017-09-21T23:03:44Z,NL:Q:10005030,Meteoorstraat,G0014,available,Y,false,false,true,POINT (6.537750567099508 53.23432308344238),6.537750567099508,53.234323083442376
46,2017-09-20T01:45:04Z,NL:Q:10005150,Grote Beerstraat,G0014,available,Y,false,true,true,POINT (6.544889087637028 53.22628356924974),6.544889087637028,53.226283569249745
47,2017-09-21T23:03:44Z,NL:Q:10005160,Grote Beerstraat,G0014,available,Y,false,false,false,POINT (6.544638621560504 53.22699590572987),6.544638621560504,53.22699590572987
