,DDINDIENIN,OMSCHRIJVI,TYPE,geometry,x,y
505,2007-08-16,"Openingsfeest Pizzeria Michel, Moesstraat 33, 31 augustus 2007 of 7 september 2007",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.555659226308896 53.22765566578862),6.555659226308896,53.227655665788625
506,2009-02-05,"Koninginnedag 2009, Huize Maas, Vismarkt 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
507,2013-01-18,"Koninginnenacht- en dag 2013, Huize Maas, Vismarkt 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
508,2005-11-17,"Paterswoldseweg 36, Café Halfweg slijtersbedrijf, ivm overname",Drank- en Horecavergunning,POINT (6.555920315797809 53.21212690329797),6.555920315797809,53.21212690329797
509,2013-11-09,"Lets Gro EMG Faktor, Chris Garrit Productions, 22 november 2013",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.589412738208382 53.22041862010742),6.589412738208382,53.220418620107424
510,2012-02-06,"Koninginnenacht en -dag 2012, Poeleplein, RESP",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569732861800909 53.21814844641764),6.569732861800909,53.218148446417636
511,2013-11-21,"FC Groningen-PEC Zwolle, 24 november 2013, Boumaboulevard",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591536264644466 53.20615331344431),6.591536264644466,53.20615331344431
512,2013-12-04,"Thuiswedstrijd FC Groningen - ADO Den Haag, 8 december 2013, Euroborg omgeving",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591536264644466 53.20615331344431),6.591536264644466,53.20615331344431
513,2013-11-12,"Koningsnacht en -dag 2014, Siete Horeca, Gedempte Zuiderdiep 137-139",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56259752691482 53.21486050156157),6.56259752691482,53.214860501561574
514,2012-02-06,"Koninginnenacht en -dag 2012, Poeleplein, RESP",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569732861800909 53.21814844641764),6.569732861800909,53.218148446417636
515,2015-04-15,"Lustrum GCHC, Blauwborgje 26a, 14,15 en 16 mei 2015",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.528400222974947 53.24119298057764),6.528400222974947,53.241192980577644
516,2013-04-08,"Swingin Groningen, diverse lokaties, 12 t/m 15 juni 2013",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.5628696785047 53.21794836752037),6.5628696785047005,53.21794836752037
517,2016-01-12,"Koningsnacht en -dag 2016, Cafe de Luna, Ged. Zuiderdiep 69",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56617607061814 53.21473342603309),6.56617607061814,53.214733426033085
518,2009-04-08,"Koninginnenacht en -dag 2009, RESP Showproductions, Poelestraat",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569732861800909 53.21814844641764),6.569732861800909,53.218148446417636
519,2015-06-09,"Swingin Groningen, Pieter Spoelstra Producties, 12 en 13 juni 2015, GM, Poelestraat, Ellebogen, Zuiderdiep, Waagplein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.566603969208395 53.21821900421183),6.566603969208395,53.218219004211825
520,2016-05-27,"Stichting Swingin Groningen, 17 en 18 juni 2016, divers lokaties",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.566603969208395 53.21821900421183),6.566603969208395,53.218219004211825
521,2009-06-19,"Open dag FC Groningen, 26 juli 2009, Euroborg",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591536264644466 53.20615331344431),6.591536264644466,53.20615331344431
522,2014-12-03,"Wedstrijden FC Groningen, Euroborg, Boumaboulevard 41, 7, 14 en 17 dec 2014",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.591536264644466 53.20615331344431),6.591536264644466,53.20615331344431
523,2015-02-27,"Koningsnacht en -dag 2015, Grandcafé de Bastille, Damsterplein 2",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.576904134039505 53.21782706103738),6.576904134039505,53.217827061037376
524,2013-11-11,"Koningsnacht en -dag 2014, De Bastille, Damsterplein 2",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.576904134039505 53.21782706103738),6.576904134039505,53.217827061037376
525,2017-05-16,"Swingin Groningen, totaalaanvraag binnenstad,  16 en 17 juni 2017",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.5628696785047 53.21794836752037),6.5628696785047005,53.21794836752037
526,2013-01-16,"Koninginnedag 2013, Grandcafé de Bastille, Damsterplein 2",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.576904134039505 53.21782706103738),6.576904134039505,53.217827061037376
527,2013-05-23,"Opening Grandcafé de Bastille, Damsterplein 2, 30 mei 2013",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.576904134039505 53.21782706103738),6.576904134039505,53.217827061037376
528,2009-04-08,"Koninginnenacht en -dag 2009, RESP Showproductions, Poelestraat",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569732861800909 53.21814844641764),6.569732861800909,53.218148446417636
529,2008-04-08,"Koninginnedag 2008, Café Karakter en Café Marleen, Kleine Pelsterstraat 6",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.567518813863342 53.21559218475511),6.567518813863342,53.21559218475511
530,2013-11-12,"Koningsnacht en -dag 2014, Siete Horeca, Gedempte Zuiderdiep 137-139",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.56259752691482 53.21486050156157),6.56259752691482,53.214860501561574
531,2017-05-16,"Swingin Groningen, totaalaanvraag binnenstad,  16 en 17 juni 2017",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.561705341008432 53.21855062420474),6.561705341008432,53.21855062420474
532,2015-06-09,"Swingin Groningen, Pieter Spoelstra Producties, 12 en 13 juni 2015, GM, Poelestraat, Ellebogen, Zuiderdiep, Waagplein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.567261175756289 53.21450010421525),6.567261175756289,53.214500104215254
533,2016-05-27,"Stichting Swingin Groningen, 17 en 18 juni 2016, divers lokaties",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.567261175756289 53.21450010421525),6.567261175756289,53.214500104215254
534,2017-05-16,"Swingin Groningen, totaalaanvraag binnenstad,  16 en 17 juni 2017",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.566603969208395 53.21821900421183),6.566603969208395,53.218219004211825
535,2016-05-27,"Stichting Swingin Groningen, 17 en 18 juni 2016, divers lokaties",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.561705341008432 53.21855062420474),6.561705341008432,53.21855062420474
