,horecatype,naam,objecttype,geometry,x,y
573,restaurant,Buurman & Buurman Eetwinkel,node,POINT (6.5614644 53.22736889999999),6.5614644,53.22736889999999
574,cafe,Longneck,node,POINT (6.5604249 53.2290769),6.5604249,53.229076899999995
575,cafe,CCG Buurtcafé,node,POINT (6.5590943 53.22962589999999),6.5590943,53.22962589999999
576,fast_food,De Wending,node,POINT (6.5609925 53.22868010000001),6.5609925,53.228680100000005
577,fast_food,Cafetaria Koning,node,POINT (6.560550300000001 53.2292576),6.560550300000001,53.2292576
578,restaurant,The Pool,node,POINT (6.565511100000001 53.22349809999999),6.565511100000001,53.22349809999999
579,restaurant,,node,POINT (6.5328667 53.2408623),6.5328667000000005,53.240862299999996
580,fast_food,Dominos,node,POINT (6.5692912 53.21826699999999),6.5692912,53.21826699999999
581,fast_food,Febo,node,POINT (6.5659559 53.2178892),6.5659559,53.2178892
582,cafe,Café De Zolder,node,POINT (6.5703901 53.21741579999999),6.5703901,53.21741579999999
583,cafe,Double A,node,POINT (6.5579879 53.2150133),6.5579879,53.215013299999995
584,fast_food,e wok,node,POINT (6.5663628 53.21878259999999),6.5663628,53.21878259999999
585,pub,Café Bar Lewenborg,node,POINT (6.623728100000001 53.23749659999999),6.623728100000001,53.23749659999999
586,fast_food,Cafetaria de Steiger,node,POINT (6.6237097 53.2375487),6.6237097,53.2375487
587,restaurant,La Scala,node,POINT (6.6234823 53.2377568),6.6234823,53.2377568
588,cafe,Doppio,node,POINT (6.5652282 53.21466),6.5652282,53.21466
589,restaurant,de WolkenFabriek,node,POINT (6.5371521 53.21044049999999),6.5371521,53.21044049999999
590,restaurant,Vapiano,node,POINT (6.5697645 53.21836919999999),6.5697645,53.21836919999999
591,restaurant,La Place,node,POINT (6.5663405 53.219475),6.5663405,53.219474999999996
592,cafe,Nespresso Boutique,node,POINT (6.5613439 53.21673979999999),6.5613439,53.21673979999999
593,restaurant,l'Eetudié,node,POINT (6.5692293 53.23204059999998),6.5692293,53.23204059999998
594,cafe,Kleintje Maas,node,POINT (6.5672582 53.21918180000001),6.5672582,53.21918180000001
595,cafe,De Gezonde Planeet,node,POINT (6.5762088 53.2223268),6.5762088,53.2223268
596,pub,Ludina Brewery,node,POINT (6.5655656 53.22212279999999),6.5655656,53.222122799999994
597,internet_cafe,,node,POINT (6.5763034 53.2222576),6.5763034,53.2222576
598,cafe,Petit Café,node,POINT (6.5766445 53.2208707),6.5766445,53.2208707
599,cafe,Proeflokaal 't Kantoor,node,POINT (6.5677106 53.2239787),6.5677106,53.223978699999996
600,cafe,TOET het toetjesparadijs,node,POINT (6.5655721 53.21297119999999),6.5655721,53.21297119999999
601,fast_food,De Heerlijcke Hap,node,POINT (6.571638 53.2096199),6.571638,53.2096199
602,fast_food,Saigon,node,POINT (6.5659107 53.2178371),6.5659107,53.2178371
603,bar,Cappuvino,node,POINT (6.5658946 53.2178769),6.5658946,53.2178769
604,restaurant,Martini Restaurant & Espressobar,node,POINT (6.550160299999999 53.19147959999999),6.550160299999999,53.191479599999994
605,cafe,Foos&Shop,node,POINT (6.552039 53.19173839999999),6.552039,53.19173839999999
606,cafe,La Officina,node,POINT (6.563178 53.2177186),6.563178,53.2177186
607,restaurant,Achterwerk,node,POINT (6.568946 53.21781199999999),6.568946,53.21781199999999
