cel,count,bushaltes,cameratoezicht_vlak,coffeeshops,horeca,onth_verg_drank_en_horeca,openbareverlichting,slaapopvang_en_methadon,verblijfsobjecten
835,0,0.0986803507,0.0000000000,0.0000000000,0.0008698972,0.0003503515,0.0966502970,0.0000000000,0.0090702360
836,0,0.0774752066,0.0000000000,0.0000000000,0.0000664968,0.0001175941,0.0455796366,0.0000000000,0.0031434098
837,0,0.0605925543,0.0000000000,0.0000000000,0.0000112586,0.0000813683,0.0342208877,0.0000000000,0.0037751909
838,0,0.0460759624,0.0000000000,0.0000000000,0.0000053144,0.0000329655,0.0280348203,0.0000000000,0.0020755899
839,0,0.0330062626,0.0000000000,0.0000000000,0.0000014707,0.0000064747,0.0192044952,0.0000000000,0.0003673868
840,0,0.0152055176,0.0000000000,0.0000000000,0.0000040646,0.0000000000,0.0004190909,0.0000000000,0.0000000102
841,0,0.0152151989,0.0000000000,0.0000000000,0.0000019232,0.0000000002,0.0017325325,0.0000000000,0.0000002618
842,0,0.0175841992,0.0000000000,0.0000000000,0.0000156484,0.0000000130,0.0049035753,0.0000000000,0.0000069278
843,0,0.0235665605,0.0000000000,0.0000000000,0.0001811971,0.0000004163,0.0091007738,0.0000000000,0.0000787864
844,0,0.0332283321,0.0000000000,0.0000000000,0.0009836151,0.0000063663,0.0122941574,0.0000000000,0.0003457452
845,0,0.0451088754,0.0000000000,0.0000000000,0.0024746372,0.0000464357,0.0140764180,0.0000000000,0.0004274908
846,0,0.0564832753,0.0000000000,0.0000000000,0.0028952662,0.0001615609,0.0148590435,0.0000000000,0.0001709668
847,0,0.0642629228,0.0000000000,0.0000000000,0.0015950849,0.0002681290,0.0141597598,0.0000000000,0.0001316164
